Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo,Ingresos (miles de pesos),Ingreso x Acceso
2022,1,10.611.390,12.619,10624009,Ene-Mar 2022,51432896,4.84
2021,4,10.476.933,12.861,10489794,Oct-Dic 2021,45467887,4.33
2021,3,10.075.184,10.357,10085541,Jul-Sept 2021,42999944,4.26
2021,2,9.852.702,10.382,9863084,Abr-Jun 2021,38239667,3.88
2021,1,9.637.956,10.016,9647972,Ene-Mar 2021,36676371,3.8
2020,4,9.561.546,10.016,9571562,Oct-Dic 2020,33539703,3.5
2020,3,9.346.183,10.016,9356199,Jul-Sept 2020,31997445,3.42
2020,2,9.021.040,10.016,9031056,Abr-Jun 2020,32102476,3.55
2020,1,8.802.435,9.991,8812426,Ene-Mar 2020,29946216,3.4
2019,4,8.783.053,10.128,8793181,Oct-Dic 2019,24169251,2.75
2019,3,9.142.891,21.793,9164684,Jul-Sept 2019,21652748,2.36
2019,2,8.938.427,21.754,8960181,Abr-Jun 2019,20743118,2.32
2019,1,8.626.323,21.812,8648135,Ene-Mar 2019,20207414,2.34
2018,4,8.451.841,21.814,8473655,Oct-Dic 2018,16637687,1.96
2018,3,8.320.223,26.812,8347035,Jul-Sept 2018,15410981,1.85
2018,2,8.083.533,26.911,8110444,Abr-Jun 2018,14319467,1.77
2018,1,8.009.981,27.072,8037053,Ene-Mar 2018,13171459,1.64
2017,4,7.842.778,27.444,7870222,Oct-Dic 2017,11226127,1.43
2017,3,7.696.594,28.349,7724943,Jul-Sept 2017,10065998,1.3
2017,2,7.401.134,28.53,7429664,Abr-Jun 2017,9678647,1.3
2017,1,7.277.314,28.54,7305854,Ene-Mar 2017,8701201,1.19
2016,4,7.223.128,28.545,7251673,Oct-Dic 2016,7483980,1.03
2016,3,7.178.340,28.61,7206950,Jul-Sept 2016,6912442,0.96
2016,2,7.097.604,32.475,7130079,Abr-Jun 2016,6534241,0.92
2016,1,6.874.704,32.652,6907356,Ene-Mar 2016,5936845,0.86
2015,4,6.952.289,32.542,6984831,Oct-Dic 2015,5376899,0.77
2015,3,6.902.267,32.801,6935068,Jul-Sept 2015,5153739,0.74
2015,2,6.783.279,32.909,6816188,Abr-Jun 2015,4701791,0.69
2015,1,6.699.714,38.018,6737732,Ene-Mar 2015,4876385,0.72
2014,4,6.559.172,39.324,6598496,Oct-Dic 2014,3950441,0.6
2014,3,6.559.264,36.007,6595271,Jul-Sept 2014,3478638,0.53
2014,2,6.428.329,36.139,6464468,Abr-Jun 2014,3270816,0.51
2014,1,6.362.108,36.29,6398398,Ene-Mar 2014,2984054,0.47
